productname,ratingcount,topreviews,rating_count,avg_rating,sentiment_score,final_score
Ernie Ball Regular Slinky Nickel Wound Electric Guitar Strings - 10-46 Gauge,"117,595 ratings","[{'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '4.0 out of 5 stars', 'rating': '4.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}]",117595,4.875,0.9805932268500328,0.986415258795023
"D'Addario XL Nickel Electric Guitar Strings - EXL110-3D - Perfect Intonation, Consistent Feel, Reliable Durability - For 6 String Guitars - 10-46 Regular Light, 3-Pack, Packaging May Vary","41,737 ratings","[{'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '4.0 out of 5 stars', 'rating': '4.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}]",41737,4.875,0.9805932268500328,0.7928917246311554
Jim Dunlop PVP102 Variety Medium/Heavy Guitar Pick Player Pack (Pack of 12),"32,025 ratings","[{'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '4.0 out of 5 stars', 'rating': '4.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}]",32025,4.875,0.9805932268500328,0.7681151610017495
"Fender A-Frame Electric Guitar Stand, Universal for all Electric and Bass Guitars, Black","4,488 ratings","[{'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '4.0 out of 5 stars', 'rating': '4.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '1.0 out of 5 stars', 'rating': '1.0 out of 5 stars'}]",4488,4.375,0.979502446949482,0.6971011792535144
"Pure Tone Full-contact Output Jack for Guitar/Bass, with Mounting Hardware","3,004 ratings","[{'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '4.0 out of 5 stars', 'rating': '4.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}]",3004,4.875,0.9805932268500328,0.694078849934102
"Fender Mini '65, Twin Guitar Amp, 1W Mini Amplifier Suitable For Electric Guitars, 9V","4,388 ratings","[{'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '4.0 out of 5 stars', 'rating': '4.0 out of 5 stars'}, {'title': '3.0 out of 5 stars', 'rating': '3.0 out of 5 stars'}, {'title': '1.0 out of 5 stars', 'rating': '1.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '2.0 out of 5 stars', 'rating': '2.0 out of 5 stars'}]",4388,3.75,0.971919521689415,0.6915380186840149
"Musiclily Metal Guitar Neck Plate for Fender Stratocaster Telecaster Electric Guitar or Bass,Black",979 ratings,"[{'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '4.0 out of 5 stars', 'rating': '4.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '1.0 out of 5 stars', 'rating': '1.0 out of 5 stars'}]",979,4.375,0.979502446949482,0.6881492680327992
"Squier by Fender Affinity Series Telecaster, Electric Guitar, Indian Laurel fingerboard, Olympic & KEPLIN Guitar Stand A Frame Foldable Universal Fits All Guitars Acoustic Electric Bass Stand A",390 ratings,"[{'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '4.0 out of 5 stars', 'rating': '4.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '4.0 out of 5 stars', 'rating': '4.0 out of 5 stars'}]",390,4.75,0.9804461449384689,0.6873072417179937
"Ibanez GRG121DX GIO Range - Electric Guitar - Walnut Flat & Fender Frontman 10G Guitar Combo Amp - The Ideal Practice Amp, suitable for Electric Guitar.",334 ratings,"[{'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '4.0 out of 5 stars', 'rating': '4.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}]",334,4.875,0.9805932268500328,0.6872673358391149
"Musiclily Metric 6mm Metal Guitar Dome Knobs Volume Tone Control Knobs for Fender Telecaster Electric Guitar Precision P-Bass,Gold (4 Pieces)",607 ratings,"[{'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '4.0 out of 5 stars', 'rating': '4.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '3.0 out of 5 stars', 'rating': '3.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}, {'title': '5.0 out of 5 stars', 'rating': '5.0 out of 5 stars'}]",607,4.625,0.9793735817074776,0.6871100424220721
