productname,ratingcount,topreviews
"fanxiang M.2 SSD - 512GB SSD Up To 3200MB/s, PCIe Gen3x4 2280, NVMe SSD with Graphene Cooling Sticker, 3D NAND TLC SSD with SLC cache, Internal Solid State Drives M2 SSD for Laptop Desktop PC","4,706 ratings","[{'title': 'My Ultimate Storage Upgrade', 'rating': '5.0 out of 5 stars'}, {'title': 'Exactly what i needed more space!', 'rating': '5.0 out of 5 stars'}, {'title': 'Exceptional Performance and Reliability – A Must-Have SSD M.2 Drive (2+ Years of Use)', 'rating': '5.0 out of 5 stars'}]"
"Lexar NM620 256GB SSD, M.2 2280 PCIe Gen3x4 NVMe 1.4 Internal SSD, Up to 3500MB/s Read, 1300MB/s Write, 3D NAND Flash Internal Solid State Drive for PC Enthusiasts and Gamers (LNM620X256G-RNNNG)","1,216 ratings","[{'title': 'Not the fastest but nonetheless perfectly fine.', 'rating': '5.0 out of 5 stars'}, {'title': 'Does what it promises', 'rating': '5.0 out of 5 stars'}, {'title': 'Cheapest 4th gen 2TB Nvme when purchased', 'rating': '5.0 out of 5 stars'}, {'title': '🚀 Lexar NQ790 2TB SSD: Speed Demon in a Compact Package', 'rating': '4.0 out of 5 stars'}, {'title': 'Excellent NVME drive', 'rating': '5.0 out of 5 stars'}, {'title': 'Internal ssd for ps5', 'rating': '5.0 out of 5 stars'}, {'title': 'Windows 11 compatibility sorted', 'rating': '5.0 out of 5 stars'}, {'title': 'A cheaper and, IMO, better option....', 'rating': '5.0 out of 5 stars'}]"
"Crucial P3 Plus SSD 1TB M.2 NVMe PCIe Gen4 Internal SSD, Up to 5000MB/s, Laptop & Desktop (PC) Compatible, Solid State Drive - CT1000P3PSSD801","45,618 ratings","[{'title': '5 Stars - Fast, Reliable, and Excellent Value for Performance', 'rating': '5.0 out of 5 stars'}, {'title': 'Great value M.2 SSD', 'rating': '5.0 out of 5 stars'}, {'title': 'Blazing Fast Storage Solution: Crucial P3 Plus 2TB M.2 PCIe Gen4 NVMe SSD Review', 'rating': '5.0 out of 5 stars'}, {'title': 'Works Well, Formats Easily, Fast Storage', 'rating': '5.0 out of 5 stars'}, {'title': 'Very good Gen4 Drive!', 'rating': '4.0 out of 5 stars'}]"
"Crucial P310 2TB SSD M.2 2280 NVMe PCIe Gen4 Internal Gaming SSD, Up to 7,100MB/s, Laptop & Desktop (PC) Compatible, Solid State Drive - CT2000P310SSD801","11,985 ratings","[{'title': 'The Best Upgrade You Can Put in a PC', 'rating': '5.0 out of 5 stars'}, {'title': 'Good speed and best price. satisfied', 'rating': '5.0 out of 5 stars'}, {'title': 'Best Value for money', 'rating': '5.0 out of 5 stars'}, {'title': 'Perfect partner for PS5 Slim', 'rating': '5.0 out of 5 stars'}, {'title': 'Easy to install. Available capacity is not 2TB', 'rating': '4.0 out of 5 stars'}, {'title': 'Great drive, fast and value for money', 'rating': '5.0 out of 5 stars'}, {'title': 'Great product', 'rating': '5.0 out of 5 stars'}, {'title': 'Fast & Works out the box', 'rating': '5.0 out of 5 stars'}]"
Kingston NV3 NVMe PCIe 4.0 Internal SSD 1TB M.2 2280-SNV3S/1000G,"2,030 ratings","[{'title': 'Kingston NV3 ssd 1 tb', 'rating': '5.0 out of 5 stars'}, {'title': 'Great drive, good price. Very happy with it.', 'rating': '5.0 out of 5 stars'}, {'title': 'Nice cheap storage upgrade from a known brand', 'rating': '5.0 out of 5 stars'}, {'title': 'Works well', 'rating': '4.0 out of 5 stars'}, {'title': ""Far superior to normal SSD's"", 'rating': '5.0 out of 5 stars'}, {'title': 'reliable and fast ssd', 'rating': '5.0 out of 5 stars'}, {'title': ""It's an SSD. It's fast. It's cheap. Buy it."", 'rating': '5.0 out of 5 stars'}, {'title': 'Great speed', 'rating': '5.0 out of 5 stars'}]"
"fanxiang M.2 SSD - 512GB SSD Up To 3200MB/s, PCIe Gen3x4 2280, NVMe SSD with Graphene Cooling Sticker, 3D NAND TLC SSD with SLC cache, Internal Solid State Drives M2 SSD for Laptop Desktop PC","4,706 ratings","[{'title': 'My Ultimate Storage Upgrade', 'rating': '5.0 out of 5 stars'}, {'title': 'Exactly what i needed more space!', 'rating': '5.0 out of 5 stars'}, {'title': 'Exceptional Performance and Reliability – A Must-Have SSD M.2 Drive (2+ Years of Use)', 'rating': '5.0 out of 5 stars'}]"
"Fikwot FN501 Pro NVMe SSD 256GB M.2 2280 Up to 2800MB/s PCIe Gen3 x4 3D TLC NAND Internal Solid State Drive, SLC Cache Compatible with Laptops & Desktops","4,194 ratings","[{'title': 'these are much faster than sata ssd', 'rating': '5.0 out of 5 stars'}, {'title': 'Perfect for the price!', 'rating': '5.0 out of 5 stars'}, {'title': 'Good quality fast drive', 'rating': '5.0 out of 5 stars'}, {'title': 'Better Than anticipated', 'rating': '4.0 out of 5 stars'}, {'title': 'Good read speeds and reasonable write speeds.', 'rating': '5.0 out of 5 stars'}, {'title': 'It worked perfectly on PS5', 'rating': '5.0 out of 5 stars'}, {'title': 'Corrupted', 'rating': '1.0 out of 5 stars'}, {'title': 'More space... more games', 'rating': '5.0 out of 5 stars'}]"
"ORICO M.2 NVMe SATA SSD Enclosure Adapter Tool-Free, USB C 3.2 Gen 2 10Gbps NVME, 5Gbps NGFF SATA PCIe M-Key(B+M Key) 2230/2242/2260/2280, Aluminum External M2 Reader Support UASP Trim- PWDM2","2,180 ratings","[{'title': 'Good value, good performance', 'rating': '5.0 out of 5 stars'}, {'title': 'Quality product!', 'rating': '5.0 out of 5 stars'}, {'title': 'Works fine....if you use a decent USB-C cable!', 'rating': '4.0 out of 5 stars'}, {'title': 'This works out of the box', 'rating': '5.0 out of 5 stars'}, {'title': 'Poor quality', 'rating': '1.0 out of 5 stars'}, {'title': 'Fast access speed with my SSD drive, surprising amount of plastic in this item', 'rating': '3.0 out of 5 stars'}, {'title': 'As described', 'rating': '5.0 out of 5 stars'}, {'title': 'Great for the money', 'rating': '5.0 out of 5 stars'}]"
"Ediloca EN605 256GB M.2 SSD, NVMe1.3 PCIe Gen3 x4 SSD Internal Hard Drive, M.2 2280 - Read/Write Speed up to 2150/1300 MB/s - Internal SSD Compatible with Laptop & PC Desktop…","3,183 ratings","[{'title': 'Ediloca EN855 ，I highly recommend this SSD to gamers and professionals alike—it’s a game-changer!', 'rating': '5.0 out of 5 stars'}, {'title': 'Nothing short of exceptional', 'rating': '5.0 out of 5 stars'}, {'title': 'As advertised. Value for money.', 'rating': '5.0 out of 5 stars'}, {'title': 'Good for PS5', 'rating': '4.0 out of 5 stars'}, {'title': 'Works on ps5 easy to install', 'rating': '5.0 out of 5 stars'}, {'title': 'Great SSD for the price', 'rating': '5.0 out of 5 stars'}, {'title': 'Works perfectly', 'rating': '5.0 out of 5 stars'}, {'title': 'Hyper-Cache on my NAS', 'rating': '5.0 out of 5 stars'}]"
"Timetec 256GB MAC SSD NVMe PCIe Gen3x4 3D NAND TLC Read Up to 1,950MB/s Compatible with Apple MacBook Air (2013-2015, 2017), MacBook Pro (2013-2015), iMac (2013-2019), Mac Pro (2013), Mac Mini (2014)","1,389 ratings","[{'title': 'SSD worked with out issues', 'rating': '5.0 out of 5 stars'}, {'title': 'Great value, saved me the cost of a new Mac', 'rating': '5.0 out of 5 stars'}, {'title': 'Failed after a few days', 'rating': '1.0 out of 5 stars'}, {'title': 'Works Well', 'rating': '5.0 out of 5 stars'}, {'title': 'worth of money...', 'rating': '4.0 out of 5 stars'}, {'title': 'Speeded up my Macbook significantly', 'rating': '5.0 out of 5 stars'}, {'title': 'Upgrade PCI', 'rating': '5.0 out of 5 stars'}, {'title': 'Thanks. This drive working fine.', 'rating': '5.0 out of 5 stars'}]"
"Samsung 990 PRO NVMe M.2 SSD, 2 TB, PCIe 4.0, 7,450 MB/s read, 6,900 MB/s write, Internal SSD, For gaming and video editing, MZ-V9P2T0BW","10,673 ratings","[{'title': 'Fast, easy installation and great software support', 'rating': '5.0 out of 5 stars'}, {'title': 'Huge Performance Boost with the 2TB Version', 'rating': '5.0 out of 5 stars'}, {'title': 'Brilliant PS5 storage upgrade', 'rating': '5.0 out of 5 stars'}, {'title': 'Best for Gaming and Editing', 'rating': '5.0 out of 5 stars'}, {'title': 'Blisteringly Fast – Perfect for Gaming!', 'rating': '5.0 out of 5 stars'}, {'title': 'Expensive but fast!', 'rating': '4.0 out of 5 stars'}, {'title': ""Don't forget to Convert the disk"", 'rating': '5.0 out of 5 stars'}, {'title': 'Good one', 'rating': '5.0 out of 5 stars'}]"
"Fikwot FN501 Pro NVMe SSD 256GB M.2 2280 Up to 2800MB/s PCIe Gen3 x4 3D TLC NAND Internal Solid State Drive, SLC Cache Compatible with Laptops & Desktops","4,194 ratings","[{'title': 'these are much faster than sata ssd', 'rating': '5.0 out of 5 stars'}, {'title': 'Perfect for the price!', 'rating': '5.0 out of 5 stars'}, {'title': 'Good quality fast drive', 'rating': '5.0 out of 5 stars'}, {'title': 'Better Than anticipated', 'rating': '4.0 out of 5 stars'}, {'title': 'Good read speeds and reasonable write speeds.', 'rating': '5.0 out of 5 stars'}, {'title': 'It worked perfectly on PS5', 'rating': '5.0 out of 5 stars'}, {'title': 'Corrupted', 'rating': '1.0 out of 5 stars'}, {'title': 'More space... more games', 'rating': '5.0 out of 5 stars'}]"
"ORICO NVMe M.2 SSD 256G PCIe Gen3.0x4 2280, 3D NAND Internal SSD with Heatsink, up to 1800MB/s, Internal Solid State Drive for PC/Console Games and Video Editing-J10",400 ratings,"[{'title': 'good drive for the price', 'rating': '5.0 out of 5 stars'}, {'title': 'Surprisingly good quality', 'rating': '5.0 out of 5 stars'}, {'title': 'Breathe life into an older system!', 'rating': '4.0 out of 5 stars'}, {'title': 'Works well, no complaints.', 'rating': '5.0 out of 5 stars'}, {'title': 'Excellent product', 'rating': '5.0 out of 5 stars'}, {'title': 'Orico nvme ssd 1tb', 'rating': '5.0 out of 5 stars'}, {'title': 'Works great', 'rating': '5.0 out of 5 stars'}, {'title': 'Value', 'rating': '5.0 out of 5 stars'}]"
"WD_BLACK SN770 2TB NVMe M.2 SSD, M.2 2280 NVMe SSD, Gaming Solid State drive, PCIe Gen4, High Performance Gaming drive, Read speeds up to 5150 MB/s","21,353 ratings","[{'title': 'WD_BLACK SN770 1TB NVMe SSD Review – Fast, Reliable, and Ready for Gaming!', 'rating': '5.0 out of 5 stars'}, {'title': 'Fantastic SSD, Highly Recommended.', 'rating': '5.0 out of 5 stars'}, {'title': 'A great value for money gaming drive for enthusiasts', 'rating': '5.0 out of 5 stars'}, {'title': 'Rubs hot but seems normal.', 'rating': '5.0 out of 5 stars'}, {'title': 'Good for Legion Go', 'rating': '4.0 out of 5 stars'}, {'title': 'Big and fast', 'rating': '5.0 out of 5 stars'}, {'title': 'Fast and fair price', 'rating': '5.0 out of 5 stars'}, {'title': 'WD Black SN770 1TB', 'rating': '5.0 out of 5 stars'}]"
"Crucial T500 1TB SSD PCIe Gen4 NVMe M.2 Internal Gaming SSD, Up to 7300MB/s, TLC NAND, Laptop and Desktop Compatible, Microsoft DirectStorage, Solid State Drive - CT1000T500SSD8","12,150 ratings","[{'title': 'Blazing Fast Storage for the Win – This SSD Means Business!', 'rating': '5.0 out of 5 stars'}, {'title': 'The Crucial T500 2TB SSD has been an absolute game-changer for PS5 gaming experience.', 'rating': '5.0 out of 5 stars'}, {'title': 'A Must-Have Upgrade for Any PS5 Gamer', 'rating': '5.0 out of 5 stars'}, {'title': 'Good ssd, faster than the Ps5s internal SSD but READ ON', 'rating': '5.0 out of 5 stars'}, {'title': 'A PS5 Pro Storage Upgrade Dream Come True', 'rating': '5.0 out of 5 stars'}]"
"Samsung 990 EVO Plus, 2TB, PCIe 4.0 x4 / 5.0 x2, NVMe2.0 (up to 7250 MB/s), NVMe M.2 (2280), Internal Solid State Drive (SSD), MZ-V9S2T0BW",503 ratings,"[{'title': 'Speed, capacity & price sweet spot hit.', 'rating': '5.0 out of 5 stars'}, {'title': 'Seems worth it', 'rating': '5.0 out of 5 stars'}, {'title': 'Quality SSD', 'rating': '5.0 out of 5 stars'}, {'title': 'Great drive', 'rating': '5.0 out of 5 stars'}, {'title': 'Super fast', 'rating': '5.0 out of 5 stars'}, {'title': 'How easy it is to install and how well it works', 'rating': '5.0 out of 5 stars'}, {'title': 'Great!', 'rating': '5.0 out of 5 stars'}, {'title': 'Quality Product', 'rating': '5.0 out of 5 stars'}]"
"WD_BLACK SN850X 4TB SSD, M.2 2280 NVMe SSD, Read speeds up to 7300 MB/s, Write speeds up to 6,600 MB/s, Gaming Expansion SSD, PCIe Gen4 NVMe, High Performance Internal SSD, Black","24,950 ratings","[{'title': 'A premium SSD that delivers on its promises. A fantastic investment!', 'rating': '5.0 out of 5 stars'}, {'title': 'Excellent product!', 'rating': '5.0 out of 5 stars'}, {'title': 'Plug, play, 2Tb of speed', 'rating': '5.0 out of 5 stars'}, {'title': ""Impressed with the product's overall performance."", 'rating': '5.0 out of 5 stars'}, {'title': 'Simple upgrade, takes 4 minutes', 'rating': '5.0 out of 5 stars'}, {'title': 'Item as described', 'rating': '4.0 out of 5 stars'}, {'title': 'Easy way to expand your PS5’s storage capacity', 'rating': '5.0 out of 5 stars'}, {'title': 'Perfect', 'rating': '5.0 out of 5 stars'}]"
"fanxiang 256GB M.2 SSD,NVMe SSD 256GB Up to 1950MB/s,PCIe Gen3×4 Internal Solid State Drives,M.2 2280 TLC 3D NAND,256GB SSD with Graphene Cooling Sticker-S500",80 ratings,"[{'title': 'fanxiang 512GB M.2 SSD,NVMe SSD', 'rating': '5.0 out of 5 stars'}, {'title': 'Works and fast', 'rating': '5.0 out of 5 stars'}]"
